City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,san jose del guaviare,2.5729,-72.6459,24.98,92,98,1.51,CO,1712271133
1,port mathurin,-19.6833,63.4167,26.92,75,100,9.08,MU,1712271097
2,ushuaia,-54.8,-68.3,5.81,61,0,1.54,AR,1712271077
3,puerto ayora,-0.7393,-90.3518,27.98,91,57,3.58,EC,1712271134
4,adamstown,-25.066,-130.1015,22.67,62,100,4.36,PN,1712271082
5,magadan,59.5667,150.8,-5.82,79,93,3.02,RU,1712271095
6,le blanc,46.6667,1.1667,11.22,84,100,2.88,FR,1712271135
7,lihue,21.9789,-159.3672,27.58,69,75,7.72,US,1712271094
8,baiyin,36.5583,104.2081,9.81,37,100,6.83,CN,1712271135
9,beipiao,41.7919,120.7792,4.66,54,100,0.61,CN,1712271135
10,brandon,27.9378,-82.2859,22.4,56,0,5.14,US,1712271135
11,banda aceh,5.5577,95.3222,26.51,83,100,1.69,ID,1712271088
12,cockburn town,21.4612,-71.1419,26.98,74,40,1.54,TC,1712270896
13,ust-nera,64.5667,143.2,-13.09,92,91,1.29,RU,1712271136
14,waitangi,-43.9535,-176.5597,13.79,96,89,2.24,NZ,1712271084
15,ivdel',60.6911,60.4206,8.35,87,100,3.58,RU,1712271136
16,bethel,41.3712,-73.414,6.53,73,100,4.12,US,1712271088
17,muang khong,14.1167,105.85,27.22,70,10,2.7,LA,1712271137
18,yellowknife,62.456,-114.3525,-7.71,75,20,3.09,CA,1712270885
19,jiagedaqi,50.4167,124.1167,1.27,57,100,2.41,CN,1712271137
20,puerto natales,-51.7236,-72.4875,5.21,87,97,4.33,CL,1712271089
21,maturin,9.75,-63.1767,28.72,55,13,5.26,VE,1712270983
22,klyuchi,52.2667,79.1667,6.21,64,20,2.19,RU,1712271138
23,east london,-33.0153,27.9116,21.63,60,7,9.43,ZA,1712271138
24,mwene-ditu,-7.0,23.45,19.23,98,88,1.44,CD,1712271138
25,mili,6.0815,171.735,28.03,77,90,7.63,MH,1712271138
26,gadzhiyevo,69.2551,33.3362,-13.6,87,83,3.79,RU,1712271139
27,mossel bay,-34.1831,22.146,17.96,85,83,6.22,ZA,1712271139
28,polyarnyy,69.1989,33.4478,-13.95,87,80,3.44,RU,1712271128
29,port-aux-francais,-49.35,70.2167,8.95,95,98,14.75,TF,1712271083
30,dongola,19.1667,30.4833,28.37,15,8,4.86,SD,1712271139
31,lazaro cardenas,17.9583,-102.2,26.32,54,25,3.62,MX,1712271111
32,whitehorse,60.7161,-135.0538,5.43,33,40,6.17,CA,1712271140
33,kapit,2.0167,112.9333,23.5,100,82,0.31,MY,1712271140
34,port lincoln,-34.7333,135.8667,15.47,71,67,6.35,AU,1712271111
35,klaksvik,62.2266,-6.589,0.51,69,100,10.33,FO,1712271140
36,aransas pass,27.9095,-97.15,28.0,60,0,5.66,US,1712271141
37,keflavik,64.0049,-22.5624,1.95,100,100,7.2,IS,1712271141
38,mount isa,-20.7333,139.5,21.87,68,4,6.17,AU,1712271141
39,san pedro,14.35,121.0167,28.51,70,20,2.68,PH,1712271141
40,agat village,13.3886,144.6585,28.75,70,40,6.69,GU,1712271142
41,nogliki,51.8333,143.1667,-2.59,86,100,2.68,RU,1712271117
42,colonia,50.9333,6.95,12.68,87,0,3.6,DE,1712271033
43,roma,43.2128,-75.4557,3.79,76,100,2.06,US,1712270988
44,utrik,11.2278,169.8474,26.62,79,98,8.12,MH,1712271083
45,taulaga,-11.0553,-171.0883,29.57,74,95,4.75,AS,1712271143
46,khark,29.2614,50.3306,22.44,74,0,1.7,IR,1712271143
47,xiaoshan,30.1675,120.2588,12.13,82,20,3.0,CN,1712271143
48,hawaiian paradise park,19.5933,-154.9731,23.74,89,100,2.57,US,1712271088
49,thompson,55.7435,-97.8558,6.09,39,75,1.03,CA,1712271143
50,avarua,-21.2078,-159.775,29.03,70,63,3.6,CK,1712271144
51,edinburgh of the seven seas,-37.0676,-12.3116,17.4,85,100,10.21,SH,1712271144
52,minas de marcona,-15.2119,-75.1103,18.21,74,73,6.08,PE,1712271144
53,albany,42.6001,-73.9662,2.23,80,98,0.89,US,1712271006
54,ilulissat,69.2167,-51.1,-3.99,93,75,2.06,GL,1712271144
55,yuzhno-kurilsk,44.0306,145.8556,0.76,98,15,2.53,RU,1712271144
56,celestun,20.8667,-90.4,24.7,59,29,6.7,MX,1712271145
57,longyearbyen,78.2186,15.6401,-11.09,79,75,7.72,SJ,1712271091
58,blackmans bay,-43.0167,147.3167,12.07,89,2,0.89,AU,1712271086
